Original Entry,Corrected Title,Author,Notes
A generation of Sociopaths,A Generation of Sociopaths: How the Baby Boomers Betrayed America,Bruce Cannon Gibney,
The Outsider,The Outsider,Stephen King,
"Replay: They history of video games","Replay: The History of Video Games",Tristan Donovan,
Shogun,Shogun,James Clavell,
"The complete stories  - Flannery O'Conner",The Complete Stories,Flannery O'Connor,Spelling fix on author name
The book of Jhereg,The Book of Jhereg,Steven Brust,Omnibus of first 3 Vlad Taltos novels
Moral Man and Immoral Society,Moral Man and Immoral Society,Reinhold Niebuhr,
Leviathan Wakes,Leviathan Wakes,James S.A. Corey,Expanse #1
What do Our Neighbors Believe,"What Do Our Neighbors Believe? Questions and Answers on Judaism, Christianity, and Islam","Howard Greenstein, Kendra Hotz, John Kaltner",
Red Rabbit,Red Rabbit,Tom Clancy,
Patriot Games,Patriot Games,Tom Clancy,
The FGourth Monkey,The Fourth Monkey,J.D. Barker,
Ishmael Daniel Quinn,Ishmael,Daniel Quinn,
"Cosmology of Monsters / Shaun Hamill",A Cosmology of Monsters,Shaun Hamill,
In the Valley of the Sun,In the Valley of the Sun,Andy Davidson,
The Valancourt Book of Work Horror Studies,The Valancourt Book of World Horror Stories,"James D. Jenkins, Ryan Cagle (editors)",Verify title - could be different Valancourt anthology
Hemmingway Didn't Say That,"Hemingway Didn't Say That: The Truth Behind Familiar Quotations",Garson O'Toole,
King's Cage,King's Cage,Victoria Aveyard,Red Queen #3
Glass Sword,Glass Sword,Victoria Aveyard,Red Queen #2
Red Queen,Red Queen,Victoria Aveyard,Red Queen #1
Dispatches from Pluto,Dispatches from Pluto: Lost and Found in the Mississippi Delta,Richard Grant,
The Culling,The Culling,Steven Dos Santos,
The Sowing,The Sowing,Steven Dos Santos,
The Reaping,The Reaping,Steven Dos Santos,
Ghost Story - Straub,Ghost Story,Peter Straub,
Chost Stories of Antiquary,Ghost Stories of an Antiquary,M.R. James,
The Passage,The Passage,Justin Cronin,
Swan Song,Swan Song,Robert McCammon,
The WOlfen,The Wolfen,Whitley Strieber,
Memphis Hoodo Murders,Memphis Hoodoo Murders,Kathryn Rogers,
The 5th wave,The 5th Wave,Rick Yancey,
The Chost Files 1,The Ghost Files,Apryl Baker,Ghost Files #1
The Chost Files 2,The Ghost Files 2,Apryl Baker,Ghost Files #2
The Chost Files 3,The Ghost Files 3,Apryl Baker,Ghost Files #3
The Little Sleep,The Little Sleep,Paul Tremblay,
A headful of Ghosts,A Head Full of Ghosts,Paul Tremblay,
Paleo Diet for Athletes,The Paleo Diet for Athletes,"Loren Cordain, Joe Friel",
21 Day Total Body Transformation,The Primal Blueprint 21-Day Total Body Transformation,Mark Sisson,
The Double Cross System,The Double-Cross System,J.C. Masterman,
Twittering from the circus of the dead,Twittering from the Circus of the Dead,Joe Hill,
Stoker's Manuscript,"Stoker's Manuscript",Royce Prouty,
West of the Tularosa,West of the Tularosa,Louis L'Amour,VERIFY - could also be Ray Hogan
"A new world: Chaos",A New World: Chaos,John O'Brien,A New World series #1
"A new world: Return",A New World: Return,John O'Brien,A New World series #2
"A new world: Sanctuary",A New World: Sanctuary,John O'Brien,A New World series #3
"A new world: Taken",A New World: Taken,John O'Brien,A New World series #4
"A new world: Awakening",A New World: Awakening,John O'Brien,A New World series #5
"A new world: Dissension",A New World: Dissension,John O'Brien,A New World series #6
"A new world: Conspiracy",A New World: Conspiracy,John O'Brien,A New World series #7
